"filename", "language", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\urls.py", "Python", 5, 0, 0, 0, 0, 1, 6
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\views.py", "Python", 3, 0, 0, 0, 1, 1, 5
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\models.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\templates\print.html", "HTML", 0, 38, 0, 0, 0, 4, 42
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\urls.py", "Python", 9, 0, 0, 0, 0, 1, 10
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\files\views.py", "Python", 204, 0, 0, 0, 18, 56, 278
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0001_initial.py", "Python", 40, 0, 0, 0, 1, 7, 48
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0002_remove_actualizaciones_accion_actualizaciones_fuente_and_more.py", "Python", 44, 0, 0, 0, 1, 6, 51
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0003_remove_intervenciones_tecnico_and_more.py", "Python", 19, 0, 0, 0, 1, 6, 26
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0004_actualizaciones_fecha_hora_and_more.py", "Python", 17, 0, 0, 0, 1, 6, 24
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0005_rename_usuario_fk_intervenciones_usuario_fk_id.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\0006_rename_usuario_fk_id_intervenciones_usuario_fk.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\models.py", "Python", 28, 0, 0, 0, 0, 9, 37
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\urls.py", "Python", 6, 0, 0, 0, 0, 1, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\inserts\views.py", "Python", 75, 0, 0, 0, 8, 17, 100
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\admin.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\apps.py", "Python", 4, 0, 0, 0, 0, 5, 9
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\middleware_admin_access.py", "Python", 11, 0, 0, 0, 3, 3, 17
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\models.py", "Python", 1, 0, 0, 0, 0, 1, 2
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\templates\registration\login.html", "HTML", 0, 46, 0, 0, 1, 19, 66
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\urls.py", "Python", 9, 0, 0, 0, 0, 2, 11
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\logIn\views.py", "Python", 63, 0, 0, 0, 3, 15, 81
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\migrations\0001_initial.py", "Python", 26, 0, 0, 0, 1, 7, 34
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\migrations\0002_alter_inventario_imagen_1_alter_inventario_imagen_2_and_more.py", "Python", 42, 0, 0, 0, 1, 6, 49
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\models.py", "Python", 17, 0, 0, 0, 0, 7, 24
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\edit_part.html", "HTML", 0, 340, 0, 0, 3, 48, 391
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\partials\_movements_table_body.html", "HTML", 0, 33, 0, 0, 0, 3, 36
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\partials\_movements_table_footer.html", "HTML", 0, 2, 0, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\partials\_parts_table_body.html", "HTML", 0, 40, 0, 0, 0, 4, 44
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\partials\_parts_table_footer.html", "HTML", 0, 2, 0, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\templates\view_parts.html", "HTML", 0, 147, 0, 0, 0, 19, 166
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\urls.py", "Python", 9, 0, 0, 0, 0, 1, 10
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\partsInventory\views.py", "Python", 129, 0, 0, 0, 1, 51, 181
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0001_initial.py", "Python", 38, 0, 0, 0, 1, 7, 46
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0002_valor.py", "Python", 21, 0, 0, 0, 1, 6, 28
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0003_alter_valor_id_pk.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0004_alter_valor_campo_fk_alter_valor_referencia_fk.py", "Python", 19, 0, 0, 0, 1, 6, 26
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0005_alter_referencias_referencia_pk.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\references\migrations\0006_alter_archivos_imagen_1_alter_archivos_imagen_2_and_more.py", "Python", 32, 0, 0, 0, 1, 6, 39
